Name,Office Number,Email
Baron,1,b@asu.edu
Balasooriya,2,c@asu.edu
Sanchez,3,d@asu.edu
Gaffar,4,e@asu.edu
Slegrad,5,f@asu.edu
Hansford,6,g@asu.edu
Walker,7,h@asu.edu
Kobayashi,8,i@asu.edu
VanLehn,9,j@asu.edu
Hartin,10,k@asu.edu
Kiehl,11,l@asu.edu
Matar,12,m@asu.edu
Goryll,13,n@asu.edu
Reisslein,14,o@asu.edu
Feng,15,p@asu.edu
Nakamura,16,q@asu.edu
Chen,17,r@asu.edu
Yang,18,s@asu.edu
Xue,19,t@asu.edu
Ren,20,u@asu.edu
Colbourn,21,v@asu.edu
Bazzi,22,w@asu.edu
Banerjee,23,x@asu.edu
Lee,24,y@asu.edu
Calliss,25,z@asu.edu
Grover,26,aa@asu.edu
Atknison,27,bb@asu.edu
McDaniel,28,cc@asu.edu
Zhao,29,dd@asu.edu
Yau,30,ee@asu.edu
